NGA,Date.From,Date.To,Value,Variable
Latium,-10000,-401,A,Cavalry
Latium,-400,2000,P,Cavalry
Paris Basin,-10000,-201,A,Cavalry
Paris Basin,-200,2000,P,Cavalry
Iceland,-10000,799,A,Cavalry
Iceland,800,1000,A~P,Cavalry
Iceland,1001,2000,P,Cavalry
Upper Egypt,-10000,-701,A,Cavalry
Upper Egypt,-700,2000,P,Cavalry
Niger Inland Delta,-10000,299,A,Cavalry
Niger Inland Delta,300,2000,P,Cavalry
Ghanaian Coast,-10000,1499,A,Cavalry
Ghanaian Coast,1500,2000,P,Cavalry
Crete,-10000,-501,A,Cavalry
Crete,-500,2000,P,Cavalry
Galilee,-10000,-701,A,Cavalry
Galilee,-700,2000,P,Cavalry
Southern Mesopotamia,-10000,-701,A,Cavalry
Southern Mesopotamia,-700,2000,P,Cavalry
Susiana,-10000,-701,A,Cavalry
Susiana,-700,2000,P,Cavalry
Konya Plain,-10000,-651,A,Cavalry
Konya Plain,-650,2000,P,Cavalry
Yemeni Coastal Plain,-10000,199,A,Cavalry
Yemeni Coastal Plain,200,2000,P,Cavalry
Kachi Plain,-10000,-551,A,Cavalry
Kachi Plain,-550,2000,P,Cavalry
Middle Ganga,-10000,-401,A,Cavalry
Middle Ganga,-400,2000,P,Cavalry
Deccan,-10000,-271,A,Cavalry
Deccan,-270,2000,P,Cavalry
Garo Hills,-10000,2000,A,Cavalry
Cambodian Basin,-10000,-234,A,Cavalry
Cambodian Basin,-235,2000,P,Cavalry
Central Java,-10000,699,A,Cavalry
Central Java,700,2000,P,Cavalry
Kapuasi Basin,-10000,2000,A,Cavalry
Middle Yellow River Valley,-10000,-401,A,Cavalry
Middle Yellow River Valley,-400,2000,P,Cavalry
Kansai,-15000,499,A,Cavalry
Kansai,500,2000,P,Cavalry
Southern China Hills,-10000,2000,A,Cavalry
Sogdiana,-10000,-901,A,Cavalry
Sogdiana,-900,2000,P,Cavalry
Orkhon Valley,-10000,-701,A,Cavalry
Orkhon Valley,-700,2000,P,Cavalry
Lena River Valley,-10000,1349,A,Cavalry
Lena River Valley,1350,2000,P,Cavalry
Valley of Oaxaca,-10000,1519,A,Cavalry
Valley of Oaxaca,1520,2000,P,Cavalry
Cahokia,-10000,1849,A,Cavalry
Cahokia,1850,2000,P,Cavalry
Finger Lakes,-10000,1749,A,Cavalry
Finger Lakes,1750,2000,P,Cavalry
Cuzco,-10000,1532,A,Cavalry
Cuzco,1533,2000,P,Cavalry
North Colombia,-10000,1599,A,Cavalry
North Colombia,1600,2000,P,Cavalry
Lowland Andes,-10000,2000,A,Cavalry
Big Island Hawaii,-10000,2000,A,Cavalry
Oro PNG,-10000,2000,A,Cavalry
Chuuk Islands,-10000,2000,A,Cavalry
Basin of Mexico,-10000,1519,A,Cavalry
Basin of Mexico,1520,2000,P,Cavalry
Latium,-10000,-801,A,Iron_crit
Latium,-800,2000,P,Iron_crit
Paris Basin,-10000,-701,A,Iron_crit
Paris Basin,-700,2000,P,Iron_crit
Iceland,-10000,899,A,Iron_crit
Iceland,900,2000,P,Iron_crit
Upper Egypt,-10000,-601,A,Iron_crit
Upper Egypt,-600,2000,P,Iron_crit
Niger Inland Delta,-10000,-501,A,Iron_crit
Niger Inland Delta,-500,2000,P,Iron_crit
Ghanaian Coast,-10000,-301,A,Iron_crit
Ghanaian Coast,-300,2000,P,Iron_crit
Crete,-10000,-901,A,Iron_crit
Crete,-900,2000,P,Iron_crit
Galilee,-10000,-901,A,Iron_crit
Galilee,-900,2000,P,Iron_crit
