"","NGA","PolID","Duration","Pop","Terr","Hier","Gov","Infra","Info","Idea","MilTech","Complexity","Agri","Cap","PolName"
"1","Latium","ItLatCA",3.25503116334555,NA,NA,1,0,0,2,0.5,13,1.19033169817029,0.474470669403965,NA,"Latium - Copper Age"
"19","Latium","ItLatBA",2.90254677931399,NA,0.544068044350276,1.25,0,0,2,0,20,1.34242268082221,0.458379037233983,1.54406804435028,"Latium - Bronze Age"
"26","Latium","ItLatBA",2.90254677931399,NA,0.544068044350276,1.25,0,0,2,0,20,1.34242268082221,0.451975740136192,2.30102999566398,"Latium - Bronze Age"
"27","Latium","ItLatIA",2.45178643552429,NA,NA,1.5,1,0,1.5,4,28,1.53781909507327,0.451060983407936,2.30102999566398,"Latium - Iron Age"
"30","Latium","ItRomRg",2.31386722036915,4.54406804435028,3,2.75,3.5,6.5,10,2,29,1.70757017609794,0.976908767791583,4,"Roman Kingdom"
"31","Latium","ItRomRg",2.31386722036915,4.54406804435028,3,2.75,3.5,6.5,10,2,31,1.72427586960079,0.975689238643896,4.55175487301657,"Roman Kingdom"
"32","Latium","ItRomER",2.38738982633873,5,3.11394335230684,2.5,6.5,8,17.5,3,31,1.81954393554187,0.974469709496209,4.47712125471966,"Roman Republic"
"33","Latium","ItRomER",2.38738982633873,5.17609125905568,3.11394335230684,2.5,7,8,17.5,3,31,1.8228216453031,0.973250180348522,4.47712125471966,"Roman Republic"
"34","Latium","ItRomER",2.38738982633873,5.8750612633917,4.24303804868629,4,7,8,17.5,3,31,1.8228216453031,0.972030651200836,4.74036268949424,"Roman Republic"
"35","Latium","ItRomMR",2.11394335230684,6.57403126772772,5.63346845557959,4.25,7,10,17,3,31,1.83250891270624,0.970811122053149,5.32221929473392,"Middle Roman Republic"
"36","Latium","ItRomLR",2.01703333929878,7.47712125471966,6.43536650661266,5.25,7,10,17,3,31,1.83250891270624,0.969591592905462,5.60205999132796,"Late Roman Republic"
"37","Latium","ItRomPr",2.49692964807321,7.69897000433602,6.65321251377534,7.75,9,12,17.5,7,35,1.90579588036787,0.968372063757775,6,"Roman Empire - Principate"
"38","Latium","ItRomPr",2.49692964807321,7.74036268949424,6.76342799356294,7.75,9,12,17.5,7,35,1.90579588036787,0.969723433894401,6.04139268515823,"Roman Empire - Principate"
"39","Latium","ItRomPr",2.49692964807321,7.79588001734407,6.69897000433602,7.75,9,12,17.5,7,35,1.90579588036787,0.971074804031027,6,"Roman Empire - Principate"
"41","Latium","ItRomWe",1.79239168949825,NA,6.30102999566398,7,11.5,11,17,11.5,33,1.92427928606188,0.973777544304279,5.69897000433602,"Western Roman Empire - Late Antiquity"
"42","Latium","ItOstrg",1.78532983501077,6.74036268949424,5.80277372529198,6,10,12,17,12.5,34,1.93196611472817,0.975128914440905,5.17609125905568,"Ostrogothic Kingdom"
"43","Latium","ItRav**",2.15228834438306,6,4.69897000433602,5.75,10,10,17,10,29,1.88081359228079,0.976480284577531,4.47712125471966,"Exarchate of Ravenna"
"44","Latium","ItRav**",2.15228834438306,6.09691001300806,4.69897000433602,5.75,10,10,17,10,29,1.88081359228079,0.977831654714157,5.05115252244738,"Exarchate of Ravenna"
"45","Latium","ItStPet",2.28330122870355,5.94767873993694,4.69897000433602,5.5,7,9,16,11,29,1.85733249643127,0.979183024850783,4.92941892571429,"Republic of St Peter I"
"46","Latium","ItStPet",2.28330122870355,5.96260607292413,4.69897000433602,5.5,7,9,16,11,29,1.85733249643127,0.980534394987408,4.60205999132796,"Republic of St Peter I"
"47","Latium","ItPapEM",2.46686762035411,5.88930170250631,4.14612803567824,5.5,10,9,17,10,37,1.91907809237607,0.981885765124034,4.54406804435028,"Rome - Republic of St Peter II"
"48","Latium","ItPapEM",2.46686762035411,5.84972644419633,3.77815125038364,5.5,10,9,17,10,37,1.91907809237607,0.981885765124034,4.54406804435028,"Rome - Republic of St Peter II"
"49","Latium","ItPapHM",2.04139268515822,5.95424250943933,4.64345267648619,4.75,9,9,18,9,39,1.92427928606188,0.981885765124034,4.54406804435028,"Papal States - High Medieval Period"
"50","Latium","ItPapHM",2.04139268515822,5.95424250943933,4.64345267648619,4.75,9,9,18,9,39,1.92427928606188,0.981885765124034,4.54406804435028,"Papal States - High Medieval Period"
"51","Latium","ItPapRn",2.17026171539496,5.77815125038364,4.64345267648619,4.75,10,9,17,11,40,1.93951925261862,0.981885765124034,4.46239799789896,"Papal States - Renaissance Period"
"52","Latium","ItPapRn",2.17026171539496,6.20411998265593,4.64345267648619,4.75,10,9,17,11,40,1.93951925261862,0.981885765124034,4.74036268949424,"Papal States - Renaissance Period"
"53","Latium","ItPapM1",2.07918124604762,6.20411998265593,4.64345267648619,4.25,9,11,18,11,41,1.95424250943932,1.17826291814884,5.06705224834246,"Papal States - Medieval Period I"
"54","Latium","ItPapM2",2.18184358794477,6.27875360095283,4.64345267648619,5,9,10,19,11,38,1.93951925261862,1.37464007117365,5.07188200730613,"Papal States - Medieval Period II"
"55","Latium","ItPapM2",2.18184358794477,6.36172783601759,4.64345267648619,5,9,10,19,11,38,1.93951925261862,1.57101722419846,5.19173039336286,"Papal States - Medieval Period II"
"56","Paris Basin","FrBeakr",2.99956548822598,3,NA,1.25,0,3,3,0,22,1.44715803134222,0.384412188732157,3,"Early Bronze Age Beaker Culture"
"66","Paris Basin","FrAtlBA",3.07881918309885,3.17609125905568,NA,1.5,0,3,2,1,21,1.43136376415899,0.395049273044759,3.17609125905568,"Atlantic Complex"
"78","Paris Basin","FrHallA",1.99563519459755,2.74036268949424,3,1.5,0,0,1.5,0,21,1.35218251811136,1.1287456536864,2,"Hallstatt A-B1"
"79","Paris Basin","FrHallB",2.29885307640971,NA,3.24303804868629,2.5,0,1,1,0.5,26,1.45484486000851,1.13058888892289,2.57403126772772,"Hallstatt B2-3"
"80","Paris Basin","FrHallB",2.29885307640971,NA,3.24303804868629,2.5,0,1,1,0.5,26,1.45484486000851,1.13243212415938,2.8750612633917,"Hallstatt B2-3"
"81","Paris Basin","FrHallC",1.99563519459755,3.60205999132796,3.43933269383026,3,0,2,1,0.5,26,1.46982201597816,1.13427535939587,3.60205999132796,"Hallstatt C"
"82","Paris Basin","FrHallD",2.09691001300806,NA,3.8750612633917,3,0,3,1,0.5,26,1.48429983934679,1.13611859463236,3.69897000433602,"Hallstatt D"
"84","Paris Basin","FrTeneA",2.17318626841227,NA,3.09691001300806,2.75,0,3,1.5,0.5,25,1.47712125471966,1.13980506510534,3.77815125038364,"La Tene A-B1"
"85","Paris Basin","FrTeneB",2.17318626841227,4.8750612633917,3.09691001300806,3,2,6,6,3.5,29,1.66745295288995,1.14164830034183,1.69897000433602,"La Tene B2-C1"
"86","Paris Basin","FrTeneB",2.17318626841227,4.8750612633917,3.09691001300806,3,2,6,6,3.5,29,1.66745295288995,1.14349153557832,3.35218251811136,"La Tene B2-C1"
"87","Paris Basin","FrTeneC",2.16731733474818,4.8750612633917,4.17609125905568,3.25,2,7,6,4,31,1.69897000433602,1.1453347708148,3.95424250943932,"La Tene C2-D"
"93","Paris Basin","FrMervE",1.78532983501077,6.17609125905568,5.39794000867204,4,7,9,12,11,32,1.85125834871908,1.14967233012297,4.39794000867204,"Early Merovingian"
"94","Paris Basin","FrMervM",2.15533603746506,6,5.36172783601759,4.25,7,9,13,11,32,1.85733249643127,1.15017119493731,4.39794000867204,"Middle Merovingian"
"95","Paris Basin","FrMervL",1.79934054945358,6,5.39794000867204,4.25,7,9,13,11,32,1.85733249643127,1.15067005975164,4.39794000867204,"Proto-Carolingian"
"96","Paris Basin","FrCarlE",1.93951925261862,7.24303804868629,6.04139268515823,3.5,4,3,16,12,31,1.81954393554187,1.15116892456598,4.39794000867204,"Carolingian Empire I"
"97","Paris Basin","FrCarlL",2.16435285578444,6.65321251377534,5.90308998699194,3.5,6,7,12,12,31,1.83250891270624,1.54323483776962,4,"Carolingian Empire II"
"98","Paris Basin","FrCaptE",2.20951501454263,5.8750612633917,4.17609125905568,4,3,7,10,10,31,1.78532983501077,1.54390331662083,4.39794000867204,"Proto-French Kingdom"
"99","Paris Basin","FrCaptE",2.20951501454263,5.8750612633917,4.17609125905568,4,3,7,10,10,33,1.79934054945358,1.54390331662083,4.39794000867204,"Proto-French Kingdom"
"100","Paris Basin","FrCaptL",2.24797326636181,6.60205999132796,4.90308998699194,5,10,8,11,10,36,1.8750612633917,1.54390331662083,4.43933269383026,"French Kingdom - Late Capetian"
"101","Paris Basin","FrCaptL",2.24797326636181,7.23044892137827,5.54406804435028,5,9,8,11,10,37,1.8750612633917,1.54390331662083,5.30102999566398,"French Kingdom - Late Capetian"
"102","Paris Basin","FrValoE",2.08278537031645,6.95424250943933,5.5910646070265,5,11,8,11,10,39,1.89762709129044,1.54390331662083,5.47712125471966,"French Kingdom - Early Valois"
"103","Paris Basin","FrValoL",2.13987908640124,7.04139268515823,5.65321251377534,5.75,10,6,13,10,40,1.89762709129044,1.54390331662083,5.43933269383026,"French Kingdom - Late Valois"
"104","Paris Basin","FrBurbE",1.84509804001426,7.26717172840301,5.96894968098134,6,9.5,9,14,12,34,1.89486965674525,1.85268397994499,5.30102999566398,"French Kingdom - Early Bourbon"
"105","Paris Basin","FrBurbL",2.10720996964787,7.33845649360461,6.35218251811136,6,10,11,14,12,34,1.90848501887865,2.16146464326916,5.72427586960079,"French Kingdom - Late Bourbon"
"106","Iceland","IsCommw",2.51982799377572,NA,5.01283722470517,2.5,1,0,6,6.5,24,1.57403126772772,0,2.39794000867204,"Icelandic Commonwealth"
